"search_string","unique_name"
"akkermansia muciniphila","Akkermansia muciniphila"
"parabacteroides distasonis","Parabacteroides distasonis"
"bacteroides nordii","Bacteroides nordii"
"bacteroides clarus","Bacteroides clarus"
"clostridium bolteae","[Clostridium] bolteae"
"cloacibacilis porcorum","Cloacibacillus porcorum"
"ruminococcus bromii","Ruminococcus bromii"
"porphyromonas pasteri","Porphyromonas pasteri"
"clostridium hungatei","Ruminiclostridium hungatei"
"gardnerella vaginalis","Gardnerella vaginalis"
"prevotella histicola","Prevotella histicola"
"desulfovibrio alaskensis","Desulfovibrio alaskensis"
"collinsella aerofaciens","Collinsella aerofaciens"
"bifidobacterium adolescentis","Bifidobacterium adolescentis"
"klebsiella pneumoniae","Klebsiella pneumoniae (species in domain Bacteria)"
"bifidobacterium longum","Bifidobacterium longum"
"blautia obeum","Blautia obeum"
"roseburia intestinalis","Roseburia intestinalis"
